title,author,format,year,price,publisher,length,city/country,categories,description,ISBN
Atomic Habits,James Clear,Paperback,2018,1669.84,Cornerstone,320 pages,"London, United Kingdom","['Social, Group Or Collective Psychology', 'Cognition & Cognitive Psychology', 'Finance & Accounting', 'Dating, Relationships, Living Together & Marriage', 'Personal Development', 'Advice On Careers & Achieving Success', 'Popular Psychology', 'Assertiveness, Motivation & Self-esteem']","THE PHENOMENAL INTERNATIONAL BESTSELLER: OVER 1O MILLION COPIES SOLD WORLDWIDETransform your life with tiny changes in behaviour, starting now.People think that when you want to change your life, you need to think big. But world-renowned habits expert James Clear has discovered another way. He knows that real change comes from the compound effect of hundreds of small decisions: doing two push-ups a day, waking up five minutes early, or holding a single short phone call.He calls them atomic habits.In this ground-breaking book, Clears reveals exactly how these minuscule changes can grow into such life-altering outcomes. He uncovers a handful of simple life hacks (the forgotten art of Habit Stacking, the unexpected power of the Two Minute Rule, or the trick to entering the Goldilocks Zone), and delves into cutting-edge psychology and neuroscience to explain why they matter. Along the way, he tells inspiring stories of Olympic gold medalists, leading CEOs, and distinguished scientists who have used the science of tiny habits to stay productive, motivated, and happy.These small changes will have a revolutionary effect on your career, your relationships, and your life.________________________________A NEW YORK TIMES AND SUNDAY TIMES BESTSELLER'A supremely practical and useful book.' Mark Manson, author of The Subtle Art of Not Giving A F*ck'James Clear has spent years honing the art and studying the science of habits. This engaging, hands-on book is the guide you need to break bad routines and make good ones.' Adam Grant, author of Originals'Atomic Habits is a step-by-step manual for changing routines.' Books of the Month, Financial Times'A special book that will change how you approach your day and live your life.' Ryan Holiday, author of The Obstacle is the Wayshow more",978-3914100400
Lessons in Chemistry,Bonnie Garmus,Paperback,2023,1088.48,Transworld Publishers Ltd,400 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction', 'Political & Legal', 'Political & Legal', 'Romance', 'Romance Books', 'Historical Romance', 'Historical Romance', 'Historical Fiction', 'Feminism & Feminist Theory']","THE #1 SUNDAY TIMES and #1 NEW YORK TIMES BESTSELLERThe multi-million copy bestsellerAs read on BBC Radio 4 Book at BedtimeWinner of the Goodreads Choice Best Debut Novel Award'Sparky, rip-roaring, funny, with big-hearted fully formed, loveable characters'  SUNDAY TIMES'The most charming, life-enhancing novel I've read in ages. Strongly recommend' INDIA KNIGHT___________Your ability to change everything - including yourself - starts hereChemist Elizabeth Zott is not your average woman. In fact, Elizabeth Zott would be the first to point out that there is no such thing.But it's the early 1960s and her all-male team at Hastings Research Institute take a very unscientific view of equality. Forced to resign, she reluctantly signs on as the host of a cooking show, Supper at Six. But her revolutionary approach to cooking, fuelled by scientific and rational commentary, grabs the attention of a nation.Soon, a legion of overlooked housewives find themselves daring to change the status quo. One molecule at a time.__________A Book of the Year for: Guardian, Times, Sunday Times, Good Housekeeping, Woman & Home, Stylist, TLS, Oprah Daily, Newsweek, Mail on Sunday, New York Times, India Knight, Hay Festival, Amazon and many othersSOON TO BE A MAJOR APPLE TV SERIES STARRING BRIE LARSON'Biting and cheerIng in exactly the right measure' JOJO MOYES'I loved Lessons in Chemistry and am devastated to have finished it!' NIGELLA LAWSON'Laugh-out-loud funny and brimming with life, generosity and courage' RACHEL JOYCE'A novel that sparks joy with every page' ELIZABETH DAY'Elizabeth Zott is an iconic heroine' PANDORA SYKES'A page-turning and highly satisfying tale' MAGGIE SHIPSTEAD, author of GREAT CIRCLEshow more",978-4075592464
Gothikana: A Dark Academia Gothic Romance: TikTok Made Me Buy It!,RuNyx,Paperback,2023,1036.15,Rebellion Publishing Ltd.,400 pages,United Kingdom,"['Fantasy', 'Fantasy Books', 'Romance', 'Romance Books']","""If this is madness,"" she whispered almost against his lips, ""drown me in it.""Corvina Clemm is a woman with secrets. The last thing she expects to receive is an admission letter from the University of Verenmore, a place just as secretive.A castle atop a mountain, Verenmore is steeped in shadows, deceit and death, a place where students have been disappearing every five years for over a century. As Corvina becomes caught up in unravelling the clues to solve the mystery, her path collides with Vad Deverell, her enigmatic professor.Vad, too, is a man with secrets. And he cannot allow Corvina to get close enough to discover what he hides. But whenever she is near, his heart and soul yearn to possess her.As Corvina and Vad become more and more entangled, their passion for each other could be the very thing to solve the mystery of Verenmore - or it could bring them both down in flames.show more",978-8003642164
Acceptance,Padraig O'Morain,Paperback,2023,1439.15,Hodder & Stoughton,256 pages,"London, United Kingdom","['Personal Development', 'Popular Psychology', 'Assertiveness, Motivation & Self-esteem', 'Mind, Body, Spirit: Meditation & Visualisation']","In this wise and practical book, psychotherapist and mindfulness teacher Padraig O'Morain explains how practising acceptance can help us find happiness.It can be difficult to make peace with things that happen to you and affect your situation. Undesired events can knock us for six, leaving us harbouring resentment, anger and frustration. These negative emotions can affect us deeply and be difficult to shift. Acknowledging these feelings and learning how to accept what has happened - even if you do not agree with it - can be life-changing.In Acceptance you will discover how to stop brooding on what happened in the past and free yourself up to focus on more positive feelings. Using an approach derived from his years of experience, Padraig introduces us to the power of acceptance through a range of themes including accepting uncertainty, acceptance in relationships, climate emotions and acceptance and gratitude. The path towards acceptance is not always straightforward, but ultimately it will help you get unstuck and move on with your life. Find out more in the stories, case studies and practical exercises in this thoughtful book and discover how to lighten the load you have been carrying.'I read the book from start to finish and I think it might change my life.'- Ray D'Arcy, television and radio presenter of the Ray D'Arcy Showshow more",978-8173334773
The Creative Act,Rick Rubin,Hardback,2023,2141.94,Canongate Books,432 pages,"Edinburgh, United Kingdom","['Philosophy', 'Personal Development', 'Mind, Body & Spirit']","THE SUNDAY TIMES BESTSELLERMany famed music producers are known for a particular sound that has its day and then ages out. Rick Rubin is known for something else: creating a space where artists of all different genres and traditions can home in on who they really are and what they really offer. He has made a practice of helping people transcend their self-imposed expectations in order to reconnect with a state of innocence from which the surprising becomes inevitable.Over the years, as he has thought deeply about where creativity comes from and where it doesn't, he has learned that being an artist isn't about your specific output; it's about your relationship to the world. Creativity has a place in everyone's life, and everyone can make that place larger. In fact, there are few more important responsibilities.The Creative Act is a beautiful and generous course of study that illuminates the path of the artist as a road we all can follow. It distils the wisdom gleaned from a lifetime's work into a luminous reading experience that puts the power to create moments - and lifetimes - of exhilaration and transcendence within closer reach for all of us.show more",978-1463762208
The Glucose Goddess Method,Jessie Inchauspe,Paperback,2023,2171.35,New River Books Ltd,288 pages,United Kingdom,"['Public Health & Preventive Medicine', 'Dietetics & Nutrition', 'Health Books', 'Popular Medicine & Health']","Jessie Inchauspé is a biochemist, author and founder of the Glucose Goddess movement (2 million followers on Instagram). With her first book Glucose Revolution, a no. 1 international bestseller, she started teaching everyone about the importance of blood sugar and easy hacks to manage it.In The Glucose Goddess Method, she offers a four-week step-by-step plan to integrate simple, science-proven strategies for steadying your blood sugar into your everyday life. It comes complete with 100+ delicious recipes, an interactive workbook and lots of tips and advice from the Glucose Goddess community on how to stay on track.This Method has been used by thousands to regulate their glucose, and the results are astonishing. You will gain boundless energy, curb your cravings, clear your skin, slow your ageing process, reduce inflammation, rebalance your hormones, improve your mood and sleep better than you have ever done before. You will create positive new habits for life. The best part? You won't be counting calories, and you'll eat everything you love.'Jessie's tips have been a lovely addition to my daily routine.'Davina McCallshow more",978-4133773988
The T in LGBT,Jamie Raines,Hardback,2023,1676.88,Ebury Publishing,256 pages,"London, United Kingdom","['Biography: General', 'Memoirs', 'Gender Studies, Gender Groups', 'Popular Medicine & Health', 'Coping With Personal Problems', 'Sex & Sexuality, Sex Manuals', 'Personal Development']","Hey, I'm Jamie, a 29-year-old trans guy from the UK. I've been transitioning for 12 years now after realising I was trans (by accident!) at sixteen years old. I knew I was a boy since the age of four, but realised whilst growing up that I was different. It was only in my teens that I found the words to express who I was and what I needed to do. Since then, I've been on testosterone for more than a decade - I know, I can't believe it either - I've also had top and bottom surgery and legally changed my sex, so I know a few things about the transitioning process and being trans!I want to welcome you to The T in LGBT where you can explore and learn about so many topics surrounding gender identity: realising you're trans, starting hormones, considering surgery, and everything in between. Whether you're questioning your own identity and are looking for advice on certain stages of transition, or whether you're wanting to learn about the trans experience to support someone or understand allyship, I hope this book can be your one-stop guide to everything trans related.And don't just take my word for it either - this book is packed full of advice, tips, and the personal stories of a range of trans voices, because no one journey is the same.show more",978-0304452082
Thousand Autumns: Qian Qiu (Novel) Vol. 1,Meng XI Shi,Paperback,2023,1789.87,"Seven Seas Entertainment, LLC",400 pages,"West Hollywood, United States","['Romance', 'Romance Books', 'Historical Romance', 'Historical Romance', 'Historical Fiction', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga']","The beloved danmei/Boys' Love wuxia novel series from China that inspired the donghua (animated series) streaming in English!In this historical tale, a Daoist martial artist must begin a journey of healing and self-reflection as he resists the temptations of the powerful leader of a demonic sect.Shen Qiao is a devout Daoist priest who has spent his life honing his skills and spirit, leading his sect with martial talent, beauty beyond measure, and an earnest heart. His polar opposite, Yan Wushi, leads one of the most powerful demonic sects and is said to be unrivaled in his strength and cunning. Yan Wushi believes in the inherently selfish nature of all people-himself included-and that nobody is above committing dark deeds for their own benefit.When a fight leaves Shen Qiao injured, blind, and with hazy memories, Yan Wushi takes in the defeated sect leader with a dark plan: test the limits of the man's patience and faith in others to lure him onto the demonic path. Little does he know that he is about to meet the first immovable force of his life, and that two hearts can connect in unexpected ways. With the passing of a thousand autumns, who can stay eternal?This Chinese historical fiction tale about powerful martial artists (wuxia) built around the desire between two men (danmei) inspired a beloved animated series (donghua). The Seven Seas English-language edition will include exclusive, all-new covers and interior illustrations.show more",978-2623723719
Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Paperback,2021,984.56,Simon & Schuster Ltd,400 pages,"London, United Kingdom","['Contemporary Fiction', 'Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance', 'Historical Romance', 'Historical Romance', 'Historical Fiction']","THE SUNDAY TIMES BESTSELLER AND TIKTOK SENSATIONSOON TO BE A NETFLIX FILM'Riveting, heart-wrenching and full of Old Hollywood glamour' BuzzFeed'This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama' PopSugarFrom the author of Daisy Jones & The Six in which a legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine.Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career.Summoned to Evelyn's luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn's story near its conclusion, it becomes clear that her life intersects with Monique's own in tragic and irreversible ways.The Seven Husbands of Evelyn Hugo is a mesmerizing journey through the splendour of old Hollywood into the harsh realities of the present day as two women struggle with what it means and what it costs to face the truth.show more",978-6788447608
Things We Hide From The Light,Lucy Score,Paperback,2023,1066.72,Hodder & Stoughton,592 pages,"London, United Kingdom","['Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance']","THE INSTANT SUNDAY TIMES BESTSELLERTHE #1 NEW YORK TIMES BESTSELLERTHE HIGHLY ANTICIPATED FOLLOW-UP TO TIKTOK SENSATION AND MILLION-COPY BESTSELLER THINGS WE NEVER GOT OVERPolice Chief Nash Morgan is known for two things: being a good guy and the way his uniform accentuates his rear end.But two bullets put a dent in his Southern charm and now he's facing a criminal still on the loose and a town full of citizens that consider the law more of a 'guideline'. The last thing he needs is the leggy, smart-mouthed Lina Solavita moving in next door, making him feel things he doesn't have the energy to feel.Lina is on a mission. As soon as she gets what she's after, she has no intention of sticking around. The town of Knockemout has other ideas. Soon she finds herself sucked into small-town life. Dog-sitting. Saying yes to a bridesmaid's dress. Listening to the sexy chief of police in the shower.But when Nash discovers Lina's secret these friends become furious enemies - though the sparks flying between them don't know the difference between love and hate.show more",978-9539209754
